id,name,ssra,bonus,ada,paraFte
057829,A+ ACADEMY,73722.34,11452.11,1383.782891,26.98
101871,A+ UNLIMITED POTENTIAL,11172.77,1735.59,209.7151855,3.0
109901,ABBOTT ISD,16745.16,6478.7,228.1437076,6.51
095901,ABERNATHY ISD,41844.16,12761.02,646.2920278,19.58
221901,ABILENE ISD,456813.27,0.0,10151.4061,336.57
057814,ACADEMY FOR ACADEMIC EXCELLENCE,12027.64,1868.39,225.761168,3.0
014901,ACADEMY ISD,73512.66,7028.2,1477.432454,32.9
101810,ACADEMY OF ACCELERATED LEARNING INC,38311.99,5951.43,719.1237053,6.82
057810,ACADEMY OF DALLAS,18347.81,2850.17,344.3919759,7.32
220821,ACADEMY OF VISUAL AND PERFORMING ARTS,4182.14,649.66,78.49950438,2.0
180903,ADRIAN ISD,9806.16,3956.16,130.0,3.23
057806,ADVANTAGE ACADEMY,41045.69,6376.08,770.4356522,2.58
178901,AGUA DULCE ISD,24385.87,8931.79,343.4240764,6.73
015901,ALAMO HEIGHTS ISD,184075.69,5544.1,3967.368699,101.63
250906,ALBA-GOLDEN ISD,38395.58,12255.97,580.8802799,19.37
209901,ALBANY ISD,24533.67,8976.4,345.7169949,9.95
101902,ALDINE ISD,1913805.68,0.0,42529.01503,1133.99
184907,ALEDO ISD,324098.37,0.0,7202.185972,17.27
125901,ALICE ISD,159514.42,7391.95,3380.49916,73.77
101903,ALIEF ISD,1394091.78,0.0,30979.81729,707.63
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,16761.18,2603.7,314.6107039,22.0
043901,ALLEN ISD,769056.16,0.0,17090.13685,268.32
022901,ALPINE ISD,44788.15,13059.17,705.0884473,3.0
037901,ALTO ISD,27032.12,9688.81,385.4068261,15.93
126901,ALVARADO ISD,145269.01,8037.38,3049.591789,5.56
020901,ALVIN ISD,1133766.65,0.0,25194.8145,452.08
249901,ALVORD ISD,41476.28,12713.16,639.1804774,16.3
188901,AMARILLO ISD,1019607.15,0.0,22657.93665,487.34
084804,AMBASSADORS PREPARATORY ACADEMY,7928.84,1231.67,148.8258914,3.0
140901,AMHERST ISD,9806.16,3956.16,130.0,1.91
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,40508.2,6292.59,760.3468827,12.97
036901,ANAHUAC ISD,65519.6,8908.41,1258.02643,27.2
093901,ANDERSON-SHIRO CISD,47911.06,13230.51,770.6789851,16.0
002901,ANDREWS ISD,168343.75,6834.58,3589.092725,95.25
020902,ANGLETON ISD,260685.81,0.0,5793.017926,131.31
043902,ANNA ISD,236291.19,0.0,5250.915305,80.77
127901,ANSON ISD,37862.26,12164.55,571.0603234,23.63
071906,ANTHONY ISD,37963.6,12180.21,572.9642056,2.0
