id,name,teacher,beginning,support
109901,ABBOTT ISD,-4.06,,-30.94
095901,ABERNATHY ISD,-6.4,-1.44,9.79
221901,ABILENE ISD,-4.67,11.32,-3.04
014901,ACADEMY ISD,-10.64,7.45,-7.15
180903,ADRIAN ISD,-9.05,-13.23,
178901,AGUA DULCE ISD,1.58,-17.69,53.12
015901,ALAMO HEIGHTS ISD,-16.21,-5.76,-12.17
250906,ALBA-GOLDEN ISD,3.49,-14.39,3.31
209901,ALBANY ISD,-0.57,,9.96
101902,ALDINE ISD,-3.5,-1.02,-6.37
184907,ALEDO ISD,0.22,5.31,10.95
125901,ALICE ISD,9.25,16.8,28.7
101903,ALIEF ISD,-4.05,-8.5,-4.33
043901,ALLEN ISD,-1.81,-1.55,-2.75
022901,ALPINE ISD,-6.25,-14.72,20.18
037901,ALTO ISD,-2.49,-4.94,-0.01
126901,ALVARADO ISD,1.72,1.36,-0.34
020901,ALVIN ISD,2.92,2.82,4.03
249901,ALVORD ISD,-6.59,2.87,0.77
188901,AMARILLO ISD,-0.24,1.95,-0.7
140901,AMHERST ISD,-5.3,-7.0,49.06
036901,ANAHUAC ISD,3.07,2.71,6.6
093901,ANDERSON-SHIRO CONS ISD,-3.14,3.84,-8.61
002901,ANDREWS ISD,-11.52,1.21,-15.04
020902,ANGLETON ISD,-2.38,-1.36,4.49
043902,ANNA ISD,1.06,1.12,17.75
127901,ANSON ISD,3.09,4.67,17.01
071906,ANTHONY ISD,-9.25,-6.03,10.69
110901,ANTON ISD,-18.48,,28.55
228905,APPLE SPRINGS ISD,-1.15,,18.55
109912,AQUILLA ISD,-2.87,,19.4
004901,ARANSAS COUNTY ISD,-5.66,-11.69,2.01
205901,ARANSAS PASS ISD,2.0,,0.87
005901,ARCHER CITY ISD,2.84,,-1.12
061910,ARGYLE ISD,-1.5,48.71,17.74
220901,ARLINGTON ISD,-4.2,4.18,0.64
212901,ARP ISD,0.54,-10.38,-3.63
217901,ASPERMONT ISD,-11.36,1.5,11.05
107901,ATHENS ISD,0.63,10.17,-16.65
034901,ATLANTA ISD,-1.32,-16.86,0.71
061907,AUBREY ISD,2.0,-1.26,7.3
227901,AUSTIN ISD,-4.23,-6.57,-6.47
196901,AUSTWELL-TIVOLI ISD,-6.36,2.84,6.7
070901,AVALON ISD,-4.7,-17.18,
194902,AVERY ISD,-0.09,-11.6,21.78
034902,AVINGER ISD,0.79,14.87,-67.08
161918,AXTELL ISD,-1.37,38.47,-14.25
220915,AZLE ISD,-3.77,0.15,-3.38
030903,BAIRD ISD,-2.33,18.57,27.32
200901,BALLINGER ISD,-1.8,,-12.03
195902,BALMORHEA ISD,21.28,,1.95
010902,BANDERA ISD,-12.05,-10.11,-12.92
025901,BANGS ISD,-6.77,-5.81,20.68
178913,BANQUETE ISD,-4.17,-2.01,15.2
036902,BARBERS HILL ISD,8.29,6.5,9.78
014902,BARTLETT ISD,7.67,,9.39
011901,BASTROP ISD,-8.67,-3.33,-12.13
158901,BAY CITY ISD,6.77,11.18,14.18
123910,BEAUMONT ISD,-9.69,-9.38,-10.89
183901,BECKVILLE ISD,-3.43,-12.62,-13.24
013901,BEEVILLE ISD,-3.75,2.51,1.26
039904,BELLEVUE ISD,-0.84,17.99,-3.69
091901,BELLS ISD,-6.76,-2.82,-6.11
008901,BELLVILLE ISD,-5.94,14.88,-8.16
014903,BELTON ISD,0.31,4.55,-2.47
125902,BEN BOLT-PALITO BLANCO ISD,-11.1,7.28,37.58
066901,BENAVIDES ISD,7.41,9.13,-2.61
138904,BENJAMIN ISD,14.97,,
187901,BIG SANDY ISD (POLK),8.88,26.35,-14.65
230901,BIG SANDY ISD (UPSHUR),0.65,-5.36,-2.16
